location,line,role,message
/TEI[1],,error,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],50,information,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[1],58,error,"In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[1],77,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[2],78,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[3],79,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[4],80,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[5],81,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[6],82,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[7],83,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[8],84,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[9],85,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[10],86,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[11],87,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[12],88,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[13],89,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,warning,The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],45,information,"sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
